model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,n_samples,feature_dim,elapsed_s,f1_fail_mean,f1_pass_mean,prec_fail_mean,prec_pass_mean,rec_fail_mean,rec_pass_mean,f1_fail_std,f1_pass_std,_macro_f1_folds
openai-large,C2a,javascript,nominal,none,0.7990871736568712,0.01466702909849982,0.8980342371626371,0.007621532119395834,0.10318918232542158,0.00808017286200367,0.5982980209235034,0.029353123973565112,6338,3072,3.6,0.9391969488165742,0.658977398497168,0.9441595267304257,0.6413495422040865,0.9343441839468829,0.6788626300960265,0.004879927145718796,0.024838565245555305,"[0.8015324071313576, 0.8066879111154079, 0.8126614851808809, 0.8038396036538163, 0.7707144612028931]"
openai-large,C2a,html_css,nominal,none,0.8507040755307462,0.013715373811049305,0.900789957358773,0.009464923576427047,0.10019134098033308,0.009922040922209264,0.7015006416918106,0.027389616247697757,6338,3072,3.0,0.9363161534177562,0.7650919976437361,0.9430643227574931,0.7462607892736062,0.9297223048106084,0.7855513307984792,0.006502090983516484,0.021069013133798074,"[0.8433544073831843, 0.8525646704464919, 0.8766423957466543, 0.8397062600078552, 0.8412526440695455]"
openai-large,C2b,react,nominal,concat,0.8259865305236648,0.007791655221323006,0.844758178562618,0.007105098829608852,0.156042366403661,0.007309095785458681,0.6520723046259599,0.015558044808454389,6338,6144,5.6,0.8818948589942026,0.770078202053127,0.8916175349522517,0.7542974230668593,0.8724302991227555,0.7866983372921614,0.005835260868856344,0.009919614530367295,"[0.83129418618982, 0.8303090817688561, 0.8115994009770404, 0.8239837737212081, 0.8327462099613998]"
openai-large,C2b,react,nominal,average,0.8168298835521153,0.013642986139459143,0.836920936740216,0.01192518083643223,0.1636154606499867,0.011766627734336552,0.6337083853851804,0.02729703335558081,6338,3072,3.3,0.8766674124305915,0.7569923546736391,0.8829164205615235,0.746690789558672,0.870540162609795,0.7676959619952494,0.008580384697123715,0.018785728486816047,"[0.8122986747543094, 0.8364082053928525, 0.7945219029179338, 0.8192756832956556, 0.8216449513998252]"
openai-large,C2b,javascript,nominal,concat,0.7907018120576648,0.014213648281787691,0.8938836779114265,0.007179612389609946,0.10728963073805084,0.007540237085088954,0.5815298702890589,0.02846158827805542,6338,6144,6.8,0.9368051889899647,0.644598435125365,0.9414079593335739,0.6286072502909338,0.9323117671903025,0.6627278477373353,0.004550952802145998,0.02440343264112268,"[0.799037524740676, 0.783593127773353, 0.7965938952317534, 0.8075145900880037, 0.7667699224545376]"
openai-large,C2b,javascript,nominal,average,0.7689530212554121,0.01965786610742194,0.8821069254436915,0.008420125060384477,0.11991079053577965,0.007146287669502439,0.538144044463075,0.039509279824405476,6338,3072,2.7,0.9291763289030822,0.6087297136077423,0.9367795299179356,0.5832153218381532,0.9217690541208337,0.6380081651428899,0.0038594427437828576,0.03559945777152464,"[0.7735968641176784, 0.736364485225002, 0.7894833261771862, 0.786795287816277, 0.7585251429409177]"
openai-large,C2b,html_css,nominal,concat,0.8260795505970764,0.017590360581611626,0.8842320470668316,0.011674360495152043,0.1170755330035181,0.011904848656979352,0.652347265260574,0.035228044890166774,6338,6144,6.1,0.9254811705200942,0.7266779306740588,0.9336812985198473,0.7056569729161722,0.9175776496006026,0.7505703422053231,0.007682403167043874,0.027966369815998027,"[0.8311116793998871, 0.8398022521285362, 0.8480293120569804, 0.8091364440929462, 0.8023180653070322]"
openai-large,C2b,html_css,nominal,average,0.8142976542058722,0.008061212199755419,0.8764945745560319,0.0057962042345479645,0.124804488607929,0.0065463810867711705,0.6287808433008767,0.016159515339841123,6338,3072,2.6,0.9206104996607136,0.7079848087510306,0.9280881165984836,0.6892427449710945,0.9133971576381044,0.729277566539924,0.004576918371562574,0.0125147152697888,"[0.8221301742369482, 0.8141245453870705, 0.8228989289445187, 0.8115222385417844, 0.8008123839190395]"
openai-large,C3,react,nominal,none,0.7758631650748415,0.008213233889939386,0.8004326185478343,0.007284970306465695,0.200218853248813,0.007401602133312953,0.5518306359290405,0.016443827698377912,6338,3072,5.4,0.8490394963291535,0.7026868338205297,0.8551445817260216,0.69342471141611,0.843140719156193,0.7125890736342042,0.005886430131893776,0.011347588523051018,"[0.7718725666304034, 0.7805373685970701, 0.7617293324319171, 0.7804326508529595, 0.7847439068618579]"
openai-large,C3,javascript,nominal,none,0.7308767962173439,0.025746411189707576,0.8629398186235531,0.011987550077983028,0.1391592947895996,0.011232881918111778,0.46197023574151935,0.051695034725167434,6338,3072,4.0,0.917880721343864,0.5438728710908238,0.9245038990097875,0.5233680912683376,0.9114134068373059,0.5671726755218216,0.00638930380836507,0.04533443668663196,"[0.7220941686367218, 0.6887125863485443, 0.7672486978867907, 0.7342717265596443, 0.7420568016550184]"
openai-large,C3,html_css,nominal,none,0.8201146363162669,0.012409355665508784,0.8811920036276562,0.008619653441451209,0.1192807471385996,0.0091515286223265,0.6402878759520763,0.02480637069644131,6338,3072,3.5,0.9245133580707394,0.7157159145617945,0.9271471667892343,0.7090832067661336,0.9219601197201245,0.7231939163498099,0.0060472540912736485,0.019030907516163785,"[0.8189068937105191, 0.8045650072160182, 0.8422224945122478, 0.8140013932199746, 0.8208773929225753]"
openai-large,C4,react,nominal,none,0.7643082227736308,0.011122966145470519,0.7894378277082866,0.01004810923113756,0.21189276937747578,0.010301812192516814,0.5288610190092251,0.0221941292468668,6338,3072,5.8,0.8391522200062628,0.6894642255409991,0.8509740860522188,0.6719524767760754,0.8277879653121433,0.708313539192399,0.008319569824846013,0.014662937664577633,"[0.7625276170454789, 0.7576419512061927, 0.7482723239567595, 0.7738907640831443, 0.779208457576579]"
openai-large,C4,javascript,nominal,none,0.7206836727180519,0.01996025513346839,0.8563220742628189,0.00922316595269922,0.1472054506658965,0.008788629627418696,0.4418558193589185,0.040296409458440735,6338,3072,4.6,0.9127527860277642,0.5286145594083397,0.9233031559320034,0.49869842993158464,0.9025363316296782,0.5639526191708354,0.005090094944550205,0.035558467322841215,"[0.7025124770720471, 0.6965026281240077, 0.752668097082509, 0.7254234797886734, 0.7263116815230222]"
openai-large,C4,html_css,nominal,none,0.8099178016952878,0.014154336104998683,0.8737230051345314,0.01024332555693774,0.12748649907006043,0.011180030733551286,0.6199655093733336,0.028216338182837208,6338,3072,3.7,0.9189796960007433,0.7008559073898326,0.9253250863839023,0.6846808814000458,0.9128005391369843,0.7186311787072244,0.0075322265050747645,0.0209532932812821,"[0.8029063042220936, 0.8089018386416156, 0.8335271165901451, 0.8138045462087274, 0.7904492028138576]"
