model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean,f1_not_exp_std,f1_junior_std,f1_midlevel_std,f1_senior_std,n_samples,feature_dim,elapsed_s,_macro_f1_folds
qwen3-4b,C1b,javascript,nominal,average,0.500163252322692,0.03769897050514585,0.7272112679581817,0.015266494226556055,0.28352849200401353,0.016706552504501558,0.41980726711086735,0.03356551845179659,0.6201149879640266,0.8100549451158658,0.4603292300570293,0.11015384615384616,0.019087670643234435,0.012731754428984398,0.029750768683087948,0.10638147278299587,6338,2560,11.3,"[0.463975179901656, 0.4829859622621324, 0.5565872809757111, 0.464625999000999, 0.5326418394729613]"
qwen3-4b,C1b,javascript,ordinal,average,0.5081165205474079,0.02374150566424428,0.7224314584802465,0.007150342271147915,0.28889027211002916,0.00841386905936084,0.40419486201977445,0.016030948038867586,0.6179685391157783,0.8115141249652675,0.41436231666016,0.18862110144842595,0.02011237389511241,0.005926637349230785,0.00840373807515586,0.07946452164132572,6338,2560,88.4,"[0.49060846277462855, 0.5228751497470219, 0.47141789792040334, 0.5370351902062677, 0.5186459020887184]"
qwen3-4b,C1b,html_css,nominal,concat,0.5462364330736286,0.00802331835536943,0.7906344716740625,0.007910812593623827,0.21394710175057702,0.008703630244320058,0.5553554404245574,0.015129811861329398,0.6796584213031909,0.8523341010913225,0.6529532099000013,0.0,0.029467141151850406,0.006756123499199085,0.017167380678542704,0.0,6338,5120,21.5,"[0.5385274079267975, 0.5407566391890446, 0.5614155579692433, 0.5451306317957658, 0.5453519284872919]"
qwen3-4b,C1b,html_css,ordinal,concat,0.5572850462870325,0.029085945362585842,0.7925406231083321,0.010904428218511708,0.20779642913163313,0.012313431359040323,0.5535291158057081,0.021681231250463555,0.6682069658613904,0.8584175394636459,0.6453728226802363,0.05714285714285714,0.023080097674293875,0.009704906584699996,0.016837175571195902,0.11428571428571428,6338,5120,174.9,"[0.6118140302616445, 0.5428098716774731, 0.5614078410754889, 0.5404042724512133, 0.5299892159693427]"
qwen3-4b,C1b,html_css,nominal,average,0.5347436530890148,0.009592945648128131,0.7795226754468154,0.008761767826183875,0.2251494501281001,0.012062343272496074,0.5334759272567806,0.017643049593999063,0.6565864525283118,0.8437235719709795,0.6386645878567683,0.0,0.03306910891758045,0.0075100470765996,0.019800843296670218,0.0,6338,2560,10.1,"[0.532348629133455, 0.5230539090788227, 0.5497699548393993, 0.5275088715219377, 0.5410369008714597]"
qwen3-4b,C1b,html_css,ordinal,average,0.5306412427977246,0.010989444949775364,0.7735459996896411,0.008046660401032522,0.22830352630098175,0.007004882512850192,0.5170340018349551,0.019013962774127265,0.6361986978381842,0.8433565559780712,0.6194803056099373,0.023529411764705882,0.019988367222233253,0.005751211689948152,0.019668299707179645,0.047058823529411764,6338,2560,89.0,"[0.5458274070414487, 0.5154686566362051, 0.5240902683654107, 0.5401840347209862, 0.5276358472245726]"
qwen3-4b,C2a,react,nominal,none,0.5656061845227021,0.017531393880116545,0.6856660448563339,0.008837540029248468,0.329124537208787,0.00958003294264553,0.48132769767889333,0.013710725636385198,0.7156578261132308,0.7623836776365095,0.6007716581631203,0.18361157617794785,0.02236936278765843,0.011524996735951202,0.006062429073835648,0.06547399482431837,6338,2560,17.6,"[0.5659208276382135, 0.5526596789481791, 0.544050201052937, 0.5953486849178526, 0.5700515300563282]"
qwen3-4b,C2a,react,ordinal,none,0.5843791308297477,0.01549807681691292,0.6772208917143928,0.009664188633589383,0.331966268215985,0.010166998733173884,0.4661010708997872,0.01732656245705246,0.6993494634420074,0.7536535890169149,0.5776190537236493,0.3068944171364188,0.02584474713807068,0.008321526602510692,0.021728492326368316,0.03741682684026383,6338,2560,87.3,"[0.6061473926321207, 0.5736694804871922, 0.5776337749845558, 0.5989197510034855, 0.5655252550413841]"
qwen3-4b,C2a,javascript,nominal,none,0.5296267489046936,0.02614005587554405,0.7558290411615536,0.016125391693724428,0.2527554595046796,0.018728570610620762,0.47991060769437055,0.03102400952053878,0.6664610825307102,0.8311282983364432,0.5112778631988262,0.10963975155279504,0.031407664190055695,0.014053206577142313,0.029389632286664736,0.09127950310559006,6338,2560,18.9,"[0.5339811947444293, 0.48852069225180694, 0.5554589282178317, 0.51294007630859, 0.5572328530008103]"
qwen3-4b,C2a,javascript,ordinal,none,0.5184543397394579,0.017937447965080167,0.7456849015749223,0.006623526755868484,0.2611220523903306,0.005779855475228324,0.44789005285266537,0.013958225418288122,0.6448787754037678,0.8320614944873448,0.4527281814882696,0.14414890757844917,0.01210874141319671,0.004733307096675594,0.025826421335158865,0.06511336864241428,6338,2560,88.1,"[0.5424683364345115, 0.49856800238320487, 0.49821835474241916, 0.5195304089812589, 0.533486596155895]"
qwen3-4b,C2a,html_css,nominal,none,0.5684581475389792,0.017441443902966248,0.8036266724681578,0.012868937776374665,0.20069266181819995,0.013442566696296262,0.5846405410997224,0.02792210210479686,0.6763999207888778,0.8614901306332344,0.6859425387338048,0.05,0.028983115376060988,0.009508657314244464,0.034075048626577564,0.10000000000000002,6338,2560,14.4,"[0.5998532398737303, 0.5537197719792986, 0.5709148703436095, 0.5669466442481932, 0.5508562112500647]"
qwen3-4b,C2a,html_css,ordinal,none,0.5649957179760099,0.015123828313500124,0.7877554481762048,0.011512301265276017,0.21536541521117222,0.012651305764773791,0.5466559355544772,0.024213372049144994,0.6519637821936255,0.8531688094569642,0.6461668068640941,0.10868347338935573,0.034698733806795376,0.00949521619734848,0.023194408167720556,0.09635854341736694,6338,2560,87.1,"[0.5755254867077759, 0.580590685701126, 0.553082462253194, 0.5744227195495122, 0.5413572356684414]"
qwen3-4b,C2b,react,nominal,concat,0.5481266568135303,0.01112959668373454,0.674902400061954,0.0049818517362966155,0.34332460244149593,0.004220675784406644,0.462682756884199,0.007684617752528713,0.6860659375866642,0.7541956833175291,0.5956078868556658,0.15663711949426234,0.01936337343741501,0.007207081062058993,0.008291492191060259,0.039240525984956205,6338,5120,21.4,"[0.5403222437172466, 0.5434901598125286, 0.5350038019329668, 0.5652657909223148, 0.5565512876825953]"
qwen3-4b,C2b,react,ordinal,concat,0.5567650607661723,0.020245614284763392,0.65519476658247,0.011908105919670843,0.35547319856886406,0.01532784325412554,0.42992416589985893,0.021940092490779883,0.6794925679721626,0.7334757880904298,0.5548460261955712,0.25924586080652534,0.016833465913314267,0.011971355184650475,0.025273071622459037,0.06577756843349547,6338,5120,172.6,"[0.5487886490552134, 0.5457271278388824, 0.5573483989718631, 0.5950818878288529, 0.5368792401360495]"
qwen3-4b,C2b,react,nominal,average,0.5439435976304633,0.01727538255536721,0.6662108471018147,0.008295221857640653,0.35768177393131645,0.010316321684750229,0.4473034476809108,0.01276996073359625,0.6609613197899578,0.7462458314256446,0.5879704276933965,0.18059681161285437,0.026662166901208238,0.0026302485923221917,0.018304320059874143,0.05083322547355376,6338,2560,14.6,"[0.551581454634711, 0.5265112607295619, 0.5202364811237655, 0.5625335707665715, 0.5588552208977068]"
