model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,n_samples,feature_dim,elapsed_s,f1_fail_mean,f1_pass_mean,prec_fail_mean,prec_pass_mean,rec_fail_mean,rec_pass_mean,f1_fail_std,f1_pass_std,_macro_f1_folds
kalm-12b,C2a,javascript,nominal,none,0.7920905825973237,0.01084130826773812,0.8939001795026822,0.006350252236208859,0.10792154148377024,0.007523730650366909,0.5844148338308945,0.021590174531401815,6338,3840,4.7,0.9362518530729552,0.6479293121216919,0.943345765470111,0.6240910678050037,0.9293503482262094,0.6755908228393996,0.004762676577853258,0.017652038775001936,"[0.7951966292134831, 0.8072485301400965, 0.7930683974690745, 0.7914746543778802, 0.7734647017860841]"
kalm-12b,C2a,html_css,nominal,none,0.8335223360413974,0.011080082324454467,0.8892169679114442,0.008240932211762631,0.11202335928532836,0.009168774821134412,0.6671784393676798,0.02205479708447626,6338,3840,5.0,0.9287204600162958,0.7383242120664988,0.9362757426027413,0.7181955719468359,0.9213619155219914,0.7604562737642586,0.006246841947783885,0.015978021136919405,"[0.8281937196740823, 0.8318971231605462, 0.8477631203757898, 0.8431727641811964, 0.8165849528153722]"
kalm-12b,C2b,react,nominal,concat,0.8260100020591808,0.01106496690953682,0.8445208248680365,0.009589575404908072,0.15651331170528757,0.009427536024649363,0.6521759270190952,0.02221059639115274,6338,7680,7.1,0.8811396743972576,0.7708803297211043,0.894297404108482,0.7498000585093717,0.8684164105827549,0.7933491686460808,0.006738372476832401,0.015458611482930911,"[0.8218902981753449, 0.8209396597554492, 0.8133519646888819, 0.8461696229952265, 0.8276984646810022]"
kalm-12b,C2b,react,nominal,average,0.8141949020191788,0.0104971306354897,0.834485454658652,0.00928389490238162,0.16613899546607777,0.009286815958687397,0.6284604415502386,0.020980527119465797,6338,3840,3.9,0.8746260614670085,0.753763742571349,0.8817150823728367,0.7422820534806738,0.8677066325035379,0.7657957244655582,0.007023745293233745,0.01420536842351498,"[0.8031806813257357, 0.817166214242278, 0.808651205032784, 0.8331901821259522, 0.808786227369144]"
kalm-12b,C2b,javascript,nominal,concat,0.7794001321364178,0.01860065505464559,0.8876518854352531,0.008753508062380972,0.11407594879979285,0.008267430235140687,0.5589524562510461,0.037339833572735195,6338,7680,10.0,0.9326864220505214,0.626113842222314,0.9392988972580211,0.602908435417371,0.9262066512659428,0.6520039100684262,0.004716793399269578,0.032613924719685515,"[0.7780921407633188, 0.7770310175006276, 0.812317583662897, 0.7750644325952409, 0.7544954861600045]"
kalm-12b,C2b,javascript,nominal,average,0.7412738217562694,0.01561513042593105,0.8681550567429607,0.007944875801997148,0.13395300257196138,0.008065343107582078,0.4827100695316419,0.03126149178462303,6338,3840,4.1,0.9209414923752277,0.5616061511373112,0.9274344575042861,0.5408614021950625,0.9145560778426219,0.5843482260939565,0.004781793738558938,0.026637211376689063,"[0.7270865723255694, 0.7242621932277105, 0.7665817048994619, 0.7501626801806243, 0.738275958147981]"
kalm-12b,C2b,html_css,nominal,concat,0.8109967766863246,0.01890964553368783,0.874550642570342,0.012815426619739608,0.1265412472394364,0.013263435491002784,0.6221189702991643,0.037811370389123806,6338,7680,10.0,0.9196298740223197,0.7023636793503293,0.9256373635056454,0.6870018007476515,0.9137947711640997,0.7193916349809886,0.008623560275645094,0.029509335357745373,"[0.8207812574552191, 0.8020203540322428, 0.8387684691481516, 0.8114020242243238, 0.7820117785716849]"
kalm-12b,C2b,html_css,nominal,average,0.7731071242569171,0.013765475249844972,0.8495896935502977,0.007437906383038206,0.15146885636106058,0.006578380081015429,0.5465557950197983,0.02769793682265545,6338,3840,3.9,0.9038389811118351,0.6423752674019991,0.9098044352870668,0.6298593017248784,0.8982694099224989,0.6585551330798479,0.004155779574412306,0.02527031312833595,"[0.7838229496318554, 0.7626219738142292, 0.7949785626044619, 0.7622331691297208, 0.7618789661043182]"
kalm-12b,C3,react,nominal,none,0.7895692937366305,0.0034873372328513364,0.8124231390495613,0.0031319183051731997,0.18838745739333085,0.0033577395212018957,0.5792663890187704,0.007000864410245645,6338,3840,7.1,0.8576350998292813,0.7215034876439799,0.8657943166267733,0.7089376937294343,0.8497483818566991,0.734916864608076,0.003181148017747321,0.005379708634352013,"[0.7909695745166498, 0.7828446674667996, 0.7913869978195722, 0.7927672432911954, 0.7898779855889357]"
kalm-12b,C3,javascript,nominal,none,0.7134231462344613,0.021282487513861414,0.8542217260035624,0.009948577494564957,0.14783873080054477,0.009292391117559267,0.42705415767774346,0.042738768998400664,6338,3840,4.4,0.912803498685028,0.5140427937838947,0.9187698681139592,0.49645688465047044,0.9069701669399697,0.5339083433960095,0.005333903079311739,0.03766884767053452,"[0.6820317478957264, 0.7227754258342773, 0.7305007486354176, 0.6948339788629596, 0.7369738299439255]"
kalm-12b,C3,html_css,nominal,none,0.7896250210702089,0.012328554550045688,0.8599472317499146,0.007809073966413159,0.1416870622623799,0.007549019065067929,0.5793906620757664,0.0247173894092071,6338,3840,3.8,0.9098269612221579,0.6694230809182599,0.9179760541592461,0.6485225779650372,0.9018514994747378,0.6920152091254753,0.004659210425528075,0.020148914541452706,"[0.8059940183674733, 0.7892779920523609, 0.7967525097401544, 0.7873549154128376, 0.7687456697782182]"
kalm-12b,C4,react,nominal,none,0.7808178355684621,0.008525325324926308,0.8045160637730404,0.007035811335278512,0.19643174592108834,0.006622030271464315,0.5617769817623859,0.01714516283169129,6338,3840,4.7,0.8513968652454533,0.7102388058914706,0.8606621383676678,0.6959750876657234,0.8424278708611398,0.72541567695962,0.004350847834856702,0.013048932878191965,"[0.7760402759234535, 0.7729007861450796, 0.7730310262529833, 0.7891191553046559, 0.7929979342161375]"
kalm-12b,C4,javascript,nominal,none,0.7116373671000976,0.032055351044465594,0.8527396580036994,0.014943629891486655,0.1498885815371515,0.014079906491954413,0.4235976918389389,0.06438240164268541,6338,3840,4.9,0.9114402132004473,0.511834520999748,0.9192686224582675,0.4892109525882383,0.9038309157844878,0.5381749180610661,0.00802211875158197,0.056406867201230136,"[0.7070240295748613, 0.657089082087172, 0.7565458439131348, 0.7154037315800921, 0.7221241483452281]"
kalm-12b,C4,html_css,nominal,none,0.7589780519148668,0.0039531137974043425,0.8404085297376765,0.0028496272521234536,0.1606172458351903,0.003699640884338486,0.5180736926064521,0.007913147269026243,6338,3840,4.0,0.8981654901411733,0.6197906136885605,0.9025603487750147,0.6095091925366869,0.8938913004697626,0.6311787072243347,0.0028533879478715193,0.006932347803463081,"[0.7604243877625172, 0.7588944912837123, 0.7529503451347139, 0.7651067415730337, 0.7575142938203572]"
