model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,mae_mean,kappa_mean,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean
kalm-12b,C3,html_css,ordinal,none,0.5368062751691705,0.016794464039224,0.7665929049815982,0.2350897198728211,0.5018625958191741,0.644994470488177,0.8382270888466635,0.5973368746751748,0.0666666666666666
gemini,C3,html_css,nominal,none,0.5367174490345541,0.0192418642785141,0.7606412438098736,0.2473981610351584,0.4970633974178867,0.6245911407234195,0.8284179584209046,0.6109906258885267,0.0828700711053652
jina-v5-small,C2b,html_css,ordinal,concat,0.5335258182591817,0.0321246980892262,0.7469018382530586,0.2584414113171281,0.4628988283208416,0.6215560000003274,0.822662242696779,0.563064302048304,0.1268207282913165
jina-v5-small,C1b,html_css,ordinal,average,0.5333111910022083,0.0198474661682287,0.7757039774377648,0.2218375207586912,0.5122305124020304,0.6528250734907585,0.8489091238926196,0.6029391380540264,0.0285714285714285
qwen3-0.6b,C3,html_css,ordinal,none,0.531869173245249,0.0159130010473868,0.7588061756047164,0.2380871877482017,0.470415608519754,0.6228873141397304,0.8398351620971864,0.562849454839317,0.1019047619047619
kalm-12b,C4,html_css,nominal,none,0.5234570217139872,0.0174462108195751,0.7612160003139306,0.2443988258112384,0.4930332495230075,0.6261151129347451,0.8318912034473701,0.6024884371405006,0.0333333333333333
qwen3-0.6b,C4,html_css,ordinal,none,0.5186208261802775,0.0159115745164348,0.765328599760081,0.2314594698224027,0.4859134477797761,0.6148885937812228,0.8447297757866707,0.5840957043839852,0.0307692307692307
qwen3-8b,C4,html_css,nominal,none,0.5181648731350104,0.0094576478917564,0.7636843296770333,0.2396650972639609,0.4962130041950406,0.6379157826190228,0.834803593894469,0.5999401160265491,0.0
qwen3-4b,C3,html_css,ordinal,none,0.5112910660353865,0.0328791844419314,0.7324403340021052,0.2737505570923142,0.4321907444587525,0.5898013251591367,0.8112470054564154,0.5467769979517642,0.0973389355742296
gemini,C4,html_css,ordinal,none,0.5076034799739472,0.01209197769668,0.7398101312482706,0.2649086617584447,0.4451541920362607,0.614133649720338,0.8192276240316737,0.5453859794771103,0.0516666666666666
