model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean,f1_not_exp_std,f1_junior_std,f1_midlevel_std,f1_senior_std,n_samples,feature_dim,elapsed_s,_macro_f1_folds
qwen3-0.6b,C2a,javascript,nominal,none,0.4995520369105225,0.0174783229646896,0.7229634513051998,0.014792355247451634,0.2959935414638519,0.016692897334946166,0.4294229703718904,0.03226234401944576,0.6470757081027877,0.7968564101293654,0.47078705965935763,0.08348896975057966,0.031308170659739044,0.011532727515843017,0.0397538269292252,0.02345424442716194,6338,1024,9.1,"[0.46892687196403476, 0.5222895141686184, 0.5063319276192566, 0.503710428647087, 0.4965014421536161]"
qwen3-0.6b,C2a,javascript,ordinal,none,0.5356671500042729,0.03186401368783314,0.7679086394543393,0.01866991365887407,0.23145785145366857,0.019776133568383474,0.48611330345954606,0.04488578925881409,0.6827627833232602,0.8515491507312264,0.4746353952848129,0.1337212706777924,0.03808423531011156,0.012495320375336579,0.051002827150310404,0.06660894016898525,6338,1024,35.2,"[0.4923350425349921, 0.512785568591878, 0.5851641990562022, 0.5505698433567986, 0.5374810964814939]"
qwen3-0.6b,C2a,html_css,nominal,none,0.5629022781406345,0.022354271501338226,0.7831957785843081,0.010910621809334857,0.22530444005686698,0.010849342555435437,0.5485872328177179,0.022172710966875814,0.6748228732887922,0.841873125093976,0.6522358327408787,0.08267728143889135,0.022620335354298193,0.008029759407149593,0.021229129467254127,0.07351826666549348,6338,1024,7.1,"[0.5890837049052766, 0.5233175346998915, 0.5700127203029124, 0.556673489306686, 0.5754239414884061]"
qwen3-0.6b,C2a,html_css,ordinal,none,0.5898163804007478,0.025453939936714323,0.8020809275961891,0.010652711354105792,0.1967494441525848,0.009893993572862171,0.5701782723370303,0.024036108197694805,0.6936445544230977,0.8675325448141858,0.646421755699041,0.15166666666666667,0.015977572401834703,0.006993522223110539,0.03064627005754317,0.10703062905334881,6338,1024,32.5,"[0.5792528326407371, 0.6300172964614397, 0.5599940900520461, 0.6075500856890991, 0.5722675971604169]"
qwen3-0.6b,C2b,react,nominal,concat,0.5452796381943656,0.011436952860275804,0.6588348749247268,0.0033884082838392766,0.3652566110362788,0.005355672451283468,0.4390063164273279,0.006811947918544421,0.6937055378353391,0.7334375841284742,0.5722398218915737,0.1817356089220758,0.013987894970350792,0.004909612926837917,0.011435423885153206,0.04634893503157636,6338,2048,13.5,"[0.551471692579068, 0.5384905408655413, 0.5334835258614499, 0.5647736339763878, 0.5381787976893813]"
qwen3-0.6b,C2b,react,ordinal,concat,0.5586297440334658,0.014177047396440406,0.6527149785570051,0.010633781315984202,0.35957850208769565,0.009639416540735314,0.42678744079048975,0.015159350237466113,0.689609624186081,0.7318846113599303,0.5434053672883475,0.2696193732995044,0.019967494857112106,0.009230902087097457,0.017844769452378506,0.056872822005992925,6338,2048,74.2,"[0.5764133544891475, 0.5511861033956835, 0.5363210603577319, 0.5589582917996111, 0.5702699101251552]"
qwen3-0.6b,C2b,react,nominal,average,0.5406878307999827,0.01303644926653943,0.649474675366457,0.01074035589862027,0.3811925634711768,0.01329761409219438,0.42704082245914454,0.016919660736020706,0.6664210274079523,0.7198547147743937,0.5742705857266139,0.20220499529097094,0.01819229485016345,0.008719253797652139,0.02029934809458497,0.036936662563881964,6338,1024,7.8,"[0.5324798247751504, 0.5216775596484058, 0.5605190379712939, 0.5448407652657163, 0.5439219663393471]"
qwen3-0.6b,C2b,react,ordinal,average,0.576334108131939,0.016375823828031374,0.6905490831337596,0.00809308854355594,0.31160992831871404,0.006887747305606202,0.4842036267853917,0.012982561235349983,0.7060112620718326,0.7677346578676423,0.6057360910927989,0.22585442149548213,0.016197873513483507,0.006019473615035242,0.016752811363230948,0.04937941580133497,6338,1024,28.6,"[0.5652413422027467, 0.5715768117807387, 0.5545011645683323, 0.5972341076326989, 0.5931171144751782]"
qwen3-0.6b,C2b,javascript,nominal,concat,0.49529636493681634,0.023330714151000957,0.7236129198905783,0.013078629303795974,0.28825674299557563,0.013314514504620371,0.4142384100685825,0.02761683984524025,0.6243703608145401,0.8057861253346609,0.452511491080582,0.09851748251748252,0.021421046833624464,0.012052217966190158,0.02446140895037674,0.0640549424296441,6338,2048,10.7,"[0.45362624115790673, 0.5177192363429174, 0.4864668456538206, 0.5116056285751152, 0.507063872954322]"
qwen3-0.6b,C2b,javascript,ordinal,concat,0.48261880212537644,0.020489325410191096,0.7130747243423271,0.018885603323644133,0.2999312815737516,0.02104160615544674,0.38153712276869434,0.04369138300170466,0.6203549042771404,0.8065360814640101,0.3732067085377907,0.13037751422256444,0.050822720491874154,0.014221023306975581,0.03218965505515459,0.049597891760391415,6338,2048,73.8,"[0.44256007392472124, 0.4936849888401501, 0.49564354774653874, 0.4844883385015858, 0.4967170616138862]"
qwen3-0.6b,C2b,javascript,nominal,average,0.4742590679760732,0.010634708856263456,0.7039105847744327,0.008902140141911869,0.3182364013454869,0.012203786823925535,0.38925529861890956,0.012610136972247613,0.6181494215865888,0.7833775502260878,0.43363737890935034,0.06187192118226601,0.019381752487559255,0.011250882521232323,0.009237709215034093,0.0366014824701519,6338,1024,7.2,"[0.45318377143496474, 0.48150936469638017, 0.4774621224148069, 0.4785507723334522, 0.4805893090007619]"
qwen3-0.6b,C2b,javascript,ordinal,average,0.5386089070718997,0.04125753090257632,0.7514644218364244,0.012180281328197252,0.24739305694915087,0.014167897619561762,0.4493628694551385,0.02995833651563085,0.6476909611875803,0.8384765852697743,0.4530977449207768,0.21517033690946735,0.02912818987135591,0.009013382017338643,0.028969161765555015,0.1296393391729467,6338,1024,28.1,"[0.48689517058463766, 0.506369204605898, 0.5999198256822935, 0.569701860642307, 0.5301584738443623]"
qwen3-0.6b,C2b,html_css,nominal,concat,0.5341316690717719,0.007360896268900373,0.7788118323886961,0.008391012205210973,0.22593585284297593,0.008458151516750471,0.5312489016813953,0.019005500088842248,0.6616791839028682,0.8443706296854984,0.6304768626987208,0.0,0.014926287568276124,0.005483704400649009,0.02359476546786552,0.0,6338,2048,9.4,"[0.527964982368699, 0.5287197479190251, 0.5299441044332657, 0.536457091295801, 0.5475724193420685]"
qwen3-0.6b,C2b,html_css,ordinal,concat,0.5533206319430276,0.020326046121530265,0.7614187879594712,0.009665397855878916,0.24092642895734726,0.00902427801634328,0.4898673000823526,0.02128325115122934,0.6390210271816394,0.8349270148439523,0.5835037323925455,0.15583075335397317,0.026514285665127438,0.006716683961901427,0.013818319741784957,0.04962915906387589,6338,2048,74.3,"[0.550460022312271, 0.5280063407311657, 0.5372460184286991, 0.5659759285347916, 0.5849148497082106]"
qwen3-0.6b,C2b,html_css,nominal,average,0.5280713657037791,0.021087478304093313,0.7615986398936727,0.008780479685833885,0.24833967816870373,0.009677286319384996,0.5043240850669518,0.020454409764934046,0.6409885615150158,0.8256308806117701,0.6189993540216641,0.026666666666666665,0.01675928727603749,0.005666726537993264,0.021578748085865303,0.05333333333333333,6338,1024,6.4,"[0.5149364413647661, 0.5122719003898549, 0.5168005918401345, 0.527365278182806, 0.5689826167413342]"
qwen3-0.6b,C2b,html_css,ordinal,average,0.5676112788919889,0.03932952207975929,0.7799433367819786,0.006945777424126203,0.2178906928859,0.007887384930592985,0.5228325990477306,0.013530585037471511,0.655634478912168,0.8504619595039455,0.6138436266467919,0.1505050505050505,0.025163810617289475,0.005803297828736783,0.02154947395441459,0.13866005022947248,6338,1024,27.0,"[0.5740686933080442, 0.5222270125743057, 0.5914741146257021, 0.6248912994195029, 0.5253952745323899]"
qwen3-0.6b,C3,react,nominal,none,0.5252021760041237,0.024825102176469716,0.6337646733332154,0.015097058545733852,0.4020134996850405,0.018272864406750085,0.4038616900352432,0.02547066139936816,0.6516203550360327,0.7023752856292322,0.5616185678625341,0.18519449548869588,0.024028238554870313,0.015564471245855013,0.022751142403516746,0.05916823640355248,6338,1024,7.3,"[0.5027037697018789, 0.5006534150523071, 0.5235563134297226, 0.5693526564227546, 0.5297447254139552]"
qwen3-0.6b,C3,react,ordinal,none,0.5651425833638598,0.019276744276544595,0.6776650992203324,0.00726468696377129,0.3262843000804204,0.005289133622496867,0.4626984776542691,0.012382061764456394,0.676132924091103,0.7542628185033818,0.5986419618199974,0.2315326290409568,0.02066784086765324,0.0051946674947601565,0.008134043220467067,0.0617462208575456,6338,1024,25.6,"[0.5443488772053766, 0.5628977454404585, 0.5491549406738392, 0.5988581499613205, 0.5704532035383042]"
qwen3-0.6b,C3,javascript,nominal,none,0.468676563240021,0.018145430223172727,0.6868538377689584,0.009367491947621582,0.34143285388122174,0.007418902555561147,0.3635101232474876,0.019418956019754154,0.5973989168212499,0.7672598217134509,0.4116934437648608,0.09835407066052228,0.01557599069625733,0.008649050832713046,0.038921820093400436,0.06149512554395404,6338,1024,7.1,"[0.46448058310338575, 0.46773079612517077, 0.4389378070314338, 0.47789902683912633, 0.4943346031009881]"
